code,areaName,HouseholdSize,Households
W92000004,Wales,h0,0
E12000001,North East,h0,0
E12000002,North West,h0,0
E12000003,Yorkshire and The Humber,h0,0
E12000004,East Midlands,h0,0
E12000005,West Midlands,h0,0
E12000006,East of England,h0,0
E12000007,London,h0,0
E12000008,South East,h0,0
E12000009,South West,h0,0
W92000004,Wales,h1,429559
E12000001,North East,h1,395924
E12000002,North West,h1,1014910
E12000003,Yorkshire and The Humber,h1,733558
E12000004,East Midlands,h1,597177
E12000005,West Midlands,h1,725807
E12000006,East of England,h1,759808
E12000007,London,h1,1001983
E12000008,South East,h1,1081739
E12000009,South West,h1,741323
W92000004,Wales,h2,429559
E12000001,North East,h2,395924
E12000002,North West,h2,1014910
E12000003,Yorkshire and The Humber,h2,733558
E12000004,East Midlands,h2,597177
E12000005,West Midlands,h2,725807
E12000006,East of England,h2,759808
E12000007,London,h2,1001983
E12000008,South East,h2,1081739
E12000009,South West,h2,741323
W92000004,Wales,h3,472906
E12000001,North East,h3,410822
E12000002,North West,h3,1054079
E12000003,Yorkshire and The Humber,h3,814139
E12000004,East Midlands,h3,730945
E12000005,West Midlands,h3,811252
E12000006,East of England,h3,915234
E12000007,London,h3,1007485
E12000008,South East,h3,1324005
E12000009,South West,h3,910536
W92000004,Wales,h4,212281
E12000001,North East,h4,183528
E12000002,North West,h4,500601
E12000003,Yorkshire and The Humber,h4,356185
E12000004,East Midlands,h4,322451
E12000005,West Midlands,h4,387589
E12000006,East of England,h4,422590
E12000007,London,h4,587620
E12000008,South East,h4,617807
E12000009,South West,h4,364516
W92000004,Wales,h5,157455
E12000001,North East,h5,128338
E12000002,North West,h5,377427
E12000003,Yorkshire and The Humber,h5,276060
E12000004,East Midlands,h5,256146
E12000005,West Midlands,h5,310365
E12000006,East of England,h5,359854
E12000007,London,h5,483036
E12000008,South East,h5,535503
E12000009,South West,h5,298067
W92000004,Wales,h6,52304
E12000001,North East,h6,39167
E12000002,North West,h6,133010
E12000003,Yorkshire and The Humber,h6,97116
E12000004,East Midlands,h6,86624
E12000005,West Midlands,h6,119362
E12000006,East of England,h6,117695
E12000007,London,h6,201049
E12000008,South East,h6,172459
E12000009,South West,h6,93966
W92000004,Wales,h7,15162
E12000001,North East,h7,12028
E12000002,North West,h7,45673
E12000003,Yorkshire and The Humber,h7,33505
E12000004,East Midlands,h7,27834
E12000005,West Midlands,h7,45020
E12000006,East of England,h7,35780
E12000007,London,h7,80001
E12000008,South East,h7,51445
E12000009,South West,h7,27509
W92000004,Wales,h8plus,2738
E12000001,North East,h8plus,2186
E12000002,North West,h8plus,11611
E12000003,Yorkshire and The Humber,h8plus,8079
E12000004,East Midlands,h8plus,6773
E12000005,West Midlands,h8plus,12661
E12000006,East of England,h8plus,6794
E12000007,London,h8plus,30145
E12000008,South East,h8plus,9321
E12000009,South West,h8plus,4848
